"Date","Price","Open","High","Low","Vol.","Change %"
"08/12/2021","137.15","137.15","137.15","137.15","","0.22%"
"08/11/2021","136.85","136.85","136.85","136.85","","0.44%"
"08/10/2021","136.25","136.25","136.25","136.25","","0.29%"
"08/09/2021","135.85","135.85","135.85","135.85","","0.07%"
"08/06/2021","135.75","135.75","135.75","135.75","0.03K","1.08%"
"08/05/2021","134.30","134.30","134.30","134.30","","0.49%"
"08/04/2021","133.65","133.65","133.65","133.65","","0.68%"
"08/03/2021","132.75","132.75","132.75","132.75","","0.19%"
"08/02/2021","132.50","132.50","132.50","132.50","","8.30%"
"07/30/2021","122.35","122.35","122.35","122.35","","-0.08%"
"07/29/2021","122.45","122.45","122.45","122.45","","-0.41%"
"07/28/2021","122.95","122.95","122.95","122.95","","0.00%"
"07/27/2021","122.95","122.95","122.95","122.95","","-0.16%"
"07/26/2021","123.15","123.15","123.15","123.15","","0.16%"
"07/23/2021","122.95","122.95","122.95","122.95","","0.00%"
"07/22/2021","122.95","122.95","122.95","122.95","0.01K","0.00%"
"07/21/2021","122.95","122.95","122.95","122.95","","0.04%"
"07/20/2021","122.90","122.90","122.90","122.90","","-0.61%"
"07/19/2021","123.65","123.65","123.65","123.65","","0.61%"
"07/16/2021","122.90","122.90","122.90","122.90","","1.53%"
"07/15/2021","121.05","121.05","121.05","121.05","0.03K","1.00%"
"07/14/2021","119.85","119.85","119.85","119.85","","-0.33%"
"07/13/2021","120.25","120.25","120.25","120.25","0.05K","1.91%"
"07/12/2021","118.00","118.00","118.00","118.00","","0.43%"
"07/09/2021","117.50","117.50","117.50","117.50","","0.00%"
"07/08/2021","117.50","117.50","117.50","117.50","","0.43%"
"07/07/2021","117.00","117.00","117.00","117.00","","-0.09%"
"07/06/2021","117.10","117.10","117.10","117.10","","-0.55%"
"07/02/2021","117.75","117.75","117.75","117.75","","0.43%"
"07/01/2021","117.25","117.25","117.25","117.25","","1.82%"
"06/30/2021","115.15","115.15","115.15","115.15","0.01K","1.14%"
"06/29/2021","113.85","113.85","113.85","113.85","","-0.26%"
"06/28/2021","114.15","114.15","114.15","114.15","","-1.13%"
"06/25/2021","115.45","115.45","115.45","115.45","","-0.52%"
"06/24/2021","116.05","116.05","116.05","116.05","","0.00%"
"06/23/2021","116.05","116.05","116.05","116.05","","0.00%"
"06/22/2021","116.05","116.05","116.05","116.05","","0.87%"
"06/21/2021","115.05","115.05","115.05","115.05","","0.39%"
"06/18/2021","114.60","114.60","114.60","114.60","","0.39%"
"06/17/2021","114.15","114.15","114.15","114.15","","0.00%"
"06/16/2021","114.15","114.15","114.15","114.15","","-0.13%"
"06/15/2021","114.30","114.30","114.30","114.30","","-0.74%"
"06/14/2021","115.15","115.15","115.15","115.15","","-0.48%"
"06/11/2021","115.70","115.70","115.70","115.70","","0.04%"
"06/10/2021","115.65","115.65","115.65","115.65","","-0.86%"
"06/09/2021","116.65","116.65","116.65","116.65","","0.21%"
"06/08/2021","116.40","116.40","116.40","116.40","","2.19%"
"06/07/2021","113.90","113.90","113.90","113.90","","2.24%"
"06/04/2021","111.40","111.40","111.40","111.40","","-1.20%"
"06/03/2021","112.75","112.75","112.75","112.75","","0.89%"
"06/02/2021","111.75","111.75","111.75","111.75","","0.09%"
"06/01/2021","111.65","111.65","111.65","111.65","","5.93%"
"05/28/2021","105.40","105.40","105.40","105.40","","0.24%"
"05/27/2021","105.15","105.15","105.15","105.15","","0.00%"
"05/26/2021","105.15","105.15","105.15","105.15","","0.57%"
"05/25/2021","104.55","104.55","104.55","104.55","","0.48%"
"05/24/2021","104.05","104.05","104.05","104.05","","0.73%"
"05/21/2021","103.30","103.30","103.30","103.30","","0.00%"
"05/20/2021","103.30","103.30","103.30","103.30","","1.37%"
"05/19/2021","101.90","101.90","101.90","101.90","","-0.73%"
"05/18/2021","102.65","102.65","102.65","102.65","","0.64%"
"05/17/2021","102.00","102.00","102.00","102.00","","-1.11%"
"05/14/2021","103.15","103.15","103.15","103.15","","-0.67%"
"05/13/2021","103.85","103.85","103.85","103.85","","1.22%"
"05/12/2021","102.60","102.60","102.60","102.60","","1.74%"
"05/11/2021","100.85","100.85","100.85","100.85","","0.70%"
"05/10/2021","100.15","100.15","100.15","100.15","","0.75%"
"05/07/2021","99.40","99.40","99.40","99.40","","-0.25%"
"05/06/2021","99.65","99.65","99.65","99.65","","3.00%"
"05/05/2021","96.75","96.75","96.75","96.75","","1.68%"
"05/04/2021","95.15","95.15","95.15","95.15","","1.76%"
"05/03/2021","93.50","93.50","93.50","93.50","","0.27%"
"04/30/2021","93.25","93.25","93.25","93.25","","0.27%"
"04/29/2021","93.00","93.00","93.00","93.00","","0.16%"
"04/28/2021","92.85","92.85","92.85","92.85","","0.00%"
"04/27/2021","92.85","92.85","92.85","92.85","","0.27%"
"04/26/2021","92.60","92.60","92.60","92.60","","-0.38%"
"04/23/2021","92.95","92.95","92.95","92.95","","-0.16%"
"04/22/2021","93.10","93.10","93.10","93.10","","-0.48%"
"04/21/2021","93.55","93.55","93.55","93.55","","0.00%"
"04/20/2021","93.55","93.55","93.55","93.55","","-0.37%"
"04/19/2021","93.90","93.90","93.90","93.90","","-0.48%"
"04/16/2021","94.35","94.35","94.35","94.35","","2.06%"
"04/15/2021","92.45","92.45","92.45","92.45","","-1.81%"
"04/14/2021","94.15","94.15","94.15","94.15","","-0.74%"
"04/13/2021","94.85","94.85","94.85","94.85","","0.37%"
"04/12/2021","94.50","94.50","94.50","94.50","","-0.68%"
"04/09/2021","95.15","95.15","95.15","95.15","","-0.57%"
"04/08/2021","95.70","95.70","95.70","95.70","0.01K","-1.85%"
"04/07/2021","97.50","97.50","97.50","97.50","","0.52%"
"04/06/2021","97.00","97.00","97.00","97.00","","0.00%"
"04/05/2021","97.00","97.00","97.00","97.00","","0.00%"
"04/01/2021","97.00","97.00","97.00","97.00","","0.00%"
"03/31/2021","97.00","97.00","97.00","97.00","","2.37%"
"03/30/2021","94.75","94.75","94.75","94.75","","-0.26%"
"03/29/2021","95.00","95.00","95.00","95.00","","0.26%"
"03/26/2021","94.75","94.75","94.75","94.75","","0.26%"
"03/25/2021","94.50","94.50","94.50","94.50","","0.00%"
"03/24/2021","94.50","94.50","94.50","94.50","","0.00%"
"03/23/2021","94.50","94.50","94.50","94.50","","-0.05%"
"03/22/2021","94.55","94.55","94.55","94.55","","0.42%"
"03/19/2021","94.15","94.15","94.15","94.15","","0.59%"
"03/18/2021","93.60","93.60","93.60","93.60","","0.81%"
"03/17/2021","92.85","92.85","92.85","92.85","0.03K","1.48%"
"03/16/2021","91.50","91.50","91.50","91.50","","0.49%"
"03/15/2021","91.05","91.05","91.05","91.05","","1.05%"
"03/12/2021","90.10","90.10","90.10","90.10","","1.41%"
"03/11/2021","88.85","88.85","88.85","88.85","","1.25%"
"03/10/2021","87.75","87.75","87.75","87.75","","0.29%"
"03/09/2021","87.50","87.50","87.50","87.50","","0.11%"
"03/08/2021","87.40","87.40","87.40","87.40","","-0.11%"
"03/05/2021","87.50","87.50","87.50","87.50","","0.06%"
"03/04/2021","87.45","87.45","87.45","87.45","0.01K","-1.30%"
"03/03/2021","88.60","88.60","88.60","88.60","","0.97%"
"03/02/2021","87.75","87.75","87.75","87.75","0.01K","2.45%"
"03/01/2021","85.65","85.65","85.65","85.65","0.01K","-1.83%"
"02/26/2021","87.25","87.25","87.25","87.25","","-0.68%"
"02/25/2021","87.85","87.85","87.85","87.85","","0.00%"
"02/24/2021","87.85","87.85","87.85","87.85","","-0.11%"
"02/23/2021","87.95","87.95","87.95","87.95","","-0.34%"
"02/22/2021","88.25","88.25","88.25","88.25","","-0.68%"
"02/19/2021","88.85","88.85","88.85","88.85","","0.23%"
"02/18/2021","88.65","88.65","88.65","88.65","","-0.11%"
"02/17/2021","88.75","88.75","88.75","88.75","","-0.22%"
"02/16/2021","88.95","88.95","88.95","88.95","","0.23%"
"02/12/2021","88.75","88.75","88.75","88.75","","0.11%"
"02/11/2021","88.65","88.65","88.65","88.65","0.01K","0.45%"
"02/10/2021","88.25","88.25","88.25","88.25","","0.86%"
"02/09/2021","87.50","87.50","87.50","87.50","","0.17%"
"02/08/2021","87.35","87.35","87.35","87.35","","1.10%"
"02/05/2021","86.40","86.40","86.40","86.40","","1.77%"
"02/04/2021","84.90","84.90","84.90","84.90","","3.66%"
"02/03/2021","81.90","81.90","81.90","81.90","","-0.43%"
"02/02/2021","82.25","82.25","82.25","82.25","","-1.20%"
"02/01/2021","83.25","83.25","83.25","83.25","","-7.96%"
"01/29/2021","90.45","90.45","90.45","90.45","","-0.60%"
"01/28/2021","91.00","91.00","91.00","91.00","","0.05%"
"01/27/2021","90.95","90.95","90.95","90.95","","0.00%"
"01/26/2021","90.95","90.95","90.95","90.95","","0.33%"
"01/25/2021","90.65","90.65","90.65","90.65","","-0.11%"
"01/22/2021","90.75","90.75","90.75","90.75","","-0.27%"
"01/21/2021","91.00","91.00","91.00","91.00","","0.00%"
"01/20/2021","91.00","91.00","91.00","91.00","","-0.44%"
"01/19/2021","91.40","91.40","91.40","91.40","0.00K","-0.65%"
"01/15/2021","92.00","92.00","92.00","92.00","0.00K","-0.16%"
"01/14/2021","92.15","92.15","92.15","92.15","","-1.23%"
"01/13/2021","93.30","93.30","93.30","93.30","0.00K","-0.16%"
"01/12/2021","93.45","93.45","93.45","93.45","","3.49%"
"01/11/2021","90.30","90.30","90.30","90.30","","0.61%"
"01/08/2021","89.75","89.75","89.75","89.75","0.02K","0.84%"
